classe;t<= 40  fy;t<= 40  fu;40<t<= 80  fy;40<t<= 80  fu;norme;betaW
S235;235;360;215;360;EN 10025-2;0.8
S275;275;430;255;410;EN 10025-2;0.85
S355;355;490;335;470;EN 10025-2;0.9
S450;450;550;410;550;EN 10025-2;
S275 N/NL;275;390;255;370;EN 10025-3;0.85
S355 N/NL;355;490;335;470;EN 10025-3;0.9
S420 N/NL;420;520;390;520;EN 10025-3;1
S460 N/NL;460;540;430;540;EN 10025-3;1
S275 M/ML;275;370;255;360;EN 10025-4;0.85
S355 M/ML;355;470;335;450;EN 10025-4;0.9
S420 M/ML;420;520;390;500;EN 10025-4;1
S460 M/ML;460;540;430;530;EN 10025-4;1
S235 W;235;360;215;340;EN 10025-5;0.8
S355 W;355;510;335;490;EN 10025-5;0.9
S460 Q/QL/QL1;460;570;440;550;EN 10025-6;1
S235 H;235;360;215;340;EN 10210-1;
S275 H;275;430;255;410;EN 10210-1;
S355 H;355;510;335;490;EN 10210-1;
S275 NH/NLH;275;390;255;370;EN 10210-1;
S355 NH/NLH;355;490;335;470;EN 10210-1;
S420 NH/NLH;420;540;390;520;EN 10210-1;
S460 NH/NLH;460;560;430;550;EN 10210-1;
S235 H (EN 10219-1);235;360;;;EN 10219-1;
S275 H (EN 10219-1);275;430;;;EN 10219-1;
S355 H (EN 10219-1);355;510;;;EN 10219-1;
S275 NH/NLH (EN 10219-1);275;370;;;EN 10219-1;
S355 NH/NLH (EN 10219-1);355;470;;;EN 10219-1;
S460 NH/NLH (EN 10219-1);460;550;;;EN 10219-1;
S275 MH/MLH (EN 10219-1);275;360;;;EN 10219-1;
S355 MH/MLH (EN 10219-1);355;470;;;EN 10219-1;
S420 MH/MLH (EN 10219-1);420;500;;;EN 10219-1;
S460 MH/MLH (EN 10219-1);460;530;;;EN 10219-1;
