alpha_toit;phi;cf;A;B;C
0;max;0.2;0.5;1.8;1.1
0;0;-0.5;-0.6;-1.3;-1.4
0;1;-1.3;-1.5;-1.8;-2.2
5;max;0.4;0.8;2.1;1.3
5;0;-0.7;-1.1;-1.7;-1.8
5;1;-1.4;-1.6;-2.2;-2.5
10;max;0.5;1.2;2.4;1.6
10;0;-0.9;-1.5;-2;-2.1
10;1;-1.4;-1.6;-2.6;-2.7
15;max;0.7;1.4;2.7;1.8
15;0;-1.1;-1.8;-2.4;-2.5
15;1;-1.4;-1.6;-2.9;-3
20;max;0.8;1.7;2.9;2.1
20;0;-1.3;-2.2;-2.8;-2.9
20;1;-1.4;-1.6;-2.9;-3
25;max;1;2;3.1;2.3
25;0;-1.6;-2.6;-3.2;-3.2
25;1;-1.4;-1.5;-2.5;-2.8
30;max;1.2;2.2;3.2;2.4
30;0;-1.8;-3;-3.8;-3.6
30;1;-1.4;-1.5;-2.2;-2.7
