alpha_toit;phi;cf;A;B;C;D
-20;max;0.7;0.8;1.6;0.6;1.7
-20;0;-0.7;-0.9;-1.3;-1.6;-0.6
-20;1;-1.3;-1.5;-2.4;-2.4;-0.6
-15;max;0.5;0.6;1.5;0.7;1.4
-15;0;-0.6;-0.8;-1.3;-1.6;-0.6
-15;1;-1.4;-1.6;-2.7;-2.6;-0.6
-10;max;0.4;0.6;1.4;0.8;1.1
-10;0;-0.6;-0.8;-1.3;-1.5;-0.6
-10;1;-1.4;-1.6;-2.7;-2.6;-0.6
-5;max;0.3;0.5;1.5;0.8;0.8
-5;0;-0.5;-0.7;-1.3;-1.6;-0.6
-5;1;-1.3;-1.5;-2.4;-2.4;-0.6
5;max;0.3;0.6;1.8;1.3;0.4
5;0;-0.6;-0.6;-1.4;-1.4;-1.1
5;1;-1.3;-1.3;-2;-1.8;-1.5
10;max;0.4;0.7;1.8;1.4;0.4
10;0;-0.7;-0.7;-1.5;-1.4;-1.4
10;1;-1.3;-1.3;-2;-1.8;-1.8
15;max;0.4;0.9;1.9;1.4;0.4
15;0;-0.8;-0.9;-1.7;-1.4;-1.8
15;1;-1.3;-1.3;-2.2;-1.6;-2.1
20;max;0.6;1.1;1.9;1.5;0.4
20;0;-0.9;-1.2;-1.8;-1.4;-2
20;1;-1.3;-1.4;-2.2;-1.6;-2.1
25;max;0.7;1.2;1.9;1.6;0.5
25;0;-1;-1.4;-1.9;-1.4;-2
25;1;-1.3;-1.4;-2;-1.5;-2
30;max;0.9;1.3;1.9;1.6;0.7
30;0;-1;-1.4;-1.9;-1.4;-2
30;1;-1.3;-1.4;-1.8;-1.4;-2
